game,hdr,scene_type,preset,run,avg_cpu_usage,avg_cpu_package,avg_gpu_temp,avg_gpu_load,avg_fps,avg_1percent_low_fps,avg_1percent_high_frame_time
RE9,On,Bright,High,1,32.0188679245283,43.943396226415096,71.54150943396226,91.13207547169812,96.63207547169812,73.90566037735849,12.93867924528302
RE9,On,Bright,High,2,31.825454545454548,44.2,72.18,91.21818181818182,96.86363636363636,74.33272727272728,13.136363636363637
RE9,On,Bright,Low,1,36.14716981132075,45.283018867924525,71.86603773584906,98.9622641509434,117.59622641509435,81.25283018867924,9.811509433962264
RE9,On,Bright,Low,2,35.66153846153846,45.46153846153846,72.4673076923077,98.84615384615384,116.97115384615384,81.025,9.822115384615385
RE9,On,Bright,Medium,1,32.59423076923077,44.65384615384615,71.19423076923077,91.8076923076923,102.81923076923077,78.71346153846153,11.923653846153845
RE9,On,Bright,Medium,2,32.573214285714286,44.589285714285715,71.85892857142856,91.83928571428571,103.07321428571429,78.43392857142858,11.866428571428571
RE9,On,Dark,High,1,25.61320754716981,44.22641509433962,71.81320754716981,88.58490566037736,114.02075471698114,82.21698113207547,10.671320754716982
RE9,On,Dark,High,2,25.282692307692308,43.48076923076923,71.62115384615385,88.32692307692308,114.70192307692308,81.87884615384615,10.478461538461538
RE9,On,Dark,Low,1,25.36111111111111,43.46296296296296,71.89814814814815,90.12962962962963,129.24074074074073,82.24814814814815,9.173703703703703
RE9,On,Dark,Low,2,24.782456140350874,43.85964912280702,72.06666666666666,90.43859649122807,128.38070175438597,82.26842105263158,9.095964912280703
RE9,On,Dark,Medium,1,25.99056603773585,44.45283018867924,71.63207547169812,88.69811320754717,120.40188679245283,82.24339622641509,10.164716981132075
RE9,On,Dark,Medium,2,26.46206896551724,44.13793103448276,71.92931034482758,89.8103448275862,121.7896551724138,81.95862068965518,9.87241379310345
